prefix,change_type,changed_at,operator,previous_operator,bgp_state,previous_bgp_state,origin_asn,previous_origin_asn,pop_code,previous_pop_code,geoip_country,previous_geoip_country,geoip_region,previous_geoip_region,geoip_city,previous_geoip_city
129.222.57.0/24,changed,2026-09-06T07:54:13Z,starlink,starlink,announced,planned_not_announced,14593,,sfiabgr1,sfiabgr1,GR,GR,GR-I,GR-I,Athens,Athens
179.238.15.0/24,changed,2026-09-06T07:54:13Z,starlink,starlink,planned_not_announced,announced,,14593,frtabra1,frtabra1,BR,BR,BR-CE,BR-CE,Fortaleza,Fortaleza
179.65.205.0/24,changed,2026-09-06T07:54:13Z,starlink,starlink,planned_not_announced,announced,,45700,srbaidn2,srbaidn2,ID,ID,ID-JI,ID-JI,Surabaya,Surabaya
98.97.76.0/24,changed,2026-09-06T07:54:13Z,starlink,starlink,announced,planned_not_announced,14593,,lgosnga1,lgosnga1,NG,NG,NG-LA,NG-LA,Lagos,Lagos
2605:59c0:1800::/41,new,2026-09-06T07:54:13Z,starlink,,bgp_only,,14593,,,,,,,,,
2605:59c0:1880::/41,new,2026-09-06T07:54:13Z,starlink,,bgp_only,,14593,,,,,,,,,
2803:9810:1800::/41,new,2026-09-06T07:54:13Z,starlink,,bgp_only,,14593,,,,,,,,,
2803:9810:3c80::/41,new,2026-09-06T07:54:13Z,starlink,,bgp_only,,14593,,,,,,,,,
72.173.34.0/24,new,2026-09-06T07:54:13Z,viasat,,bgp_only,,7155,,,,,,,,,
2605:59c0:a80::/41,withdrawn,2026-09-06T07:54:13Z,starlink,starlink,withdrawn_recently,bgp_only,14593,14593,,,,,,,,
2a0d:3341:e000::/41,withdrawn,2026-09-06T07:54:13Z,starlink,starlink,withdrawn_recently,bgp_only,14593,14593,,,,,,,,
2a0d:3341:e080::/41,withdrawn,2026-09-06T07:54:13Z,starlink,starlink,withdrawn_recently,bgp_only,14593,14593,,,,,,,,
