prefix,operator,operator_group,service_type,orbit_class,origin_asn,geoip_country,geoip_region,geoip_city,geoip_source,pop_code,pop_iata,bgp_state,ground_station_claim,active_user_claim,quality_flags,attribution_confidence,geo_confidence,first_seen,last_seen,changed_at,change_type,previous_bgp_state,previous_origin_asn,previous_operator,previous_pop_code,previous_geoip_country,previous_geoip_region,previous_geoip_city
102.140.0.0/18,avanti,avanti,satellite_internet,geo,328306,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
102.140.0.0/23,turksat,turksat,satellite_internet,geo,47524,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-06-15,2026-08-12,2026-06-15T12:16:54Z,unchanged,,,,,,,
102.140.16.0/22,avanti,avanti,satellite_internet,geo,328306,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
102.140.20.0/22,avanti,avanti,satellite_internet,geo,328306,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
102.140.28.0/22,avanti,avanti,satellite_internet,geo,328306,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
102.140.48.0/20,avanti,avanti,satellite_internet,geo,328306,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
102.176.184.0/22,avanti,avanti,satellite_internet,geo,328306,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
102.176.185.0/24,avanti,avanti,satellite_internet,geo,328306,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
102.215.192.0/22,yahsat,space42,satellite_internet,geo,206283,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
102.216.38.0/24,eutelsat_skylogic,eutelsat,satellite_internet,geo_or_hybrid_satellite,29286,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
102.222.138.0/23,oneweb,eutelsat_oneweb,satellite_internet,leo,800,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
102.222.139.0/24,oneweb,eutelsat_oneweb,satellite_internet,leo,800,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
102.222.47.0/24,eutelsat_skylogic,eutelsat,satellite_internet,geo_or_hybrid_satellite,29286,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-05-25,2026-08-12,,unchanged,,,,,,,
102.223.124.0/24,yahsat,space42,satellite_internet,geo,206283,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
102.223.125.0/24,yahsat,space42,satellite_internet,geo,206283,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
102.223.126.0/24,yahsat,space42,satellite_internet,geo,206283,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
102.223.127.0/24,yahsat,space42,satellite_internet,geo,206283,,,,,,,bgp_only,false,true,[prefix_only_in_bgp bgp_announced origin_asn_expected],0.970,0.000,2026-08-01,2026-08-12,2026-08-01T06:08:32Z,unchanged,,,,,,,
