operator,asn,asn_name,orbit_class,source,confidence,notes
avanti,39356,Avanti Broadband Ltd,geo,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
avanti,328306,Avanti Communications South Africa,geo,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
eutelsat_skylogic,29286,SKYLOGIC S.P.A.,geo_or_hybrid_satellite,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
hughes,6621,Hughes Network Systems,geo,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
hughes,63062,"Hughes Network Systems, LLC",geo,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
intelsat,22351,INTELSAT GLOBAL SERVICE CORPORATION,geo_or_multi_orbit,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
intelsat,26243,Intelsat,geo_or_multi_orbit,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
marlink,5377,Marlink AS,mixed_satellite,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
marlink,55784,Marlink AS APNIC region,mixed_satellite,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
oneweb,800,ONEWEB,leo,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
ses_o3b,60725,O3B-AS,meo,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
speedcast,4913,"Speedcast Communications, Inc",mixed_satellite,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
speedcast,5666,"Speedcast Communications, Inc",mixed_satellite,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
speedcast,38456,SpeedCast Australia,mixed_satellite,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
speedcast,132160,Oceanic Broadband Solutions,mixed_satellite,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
starlink,14593,SPACEX-STARLINK,leo,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
starlink,45700,IDNIC-STARLINK-AS-ID,leo,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
viasat,7155,VIASAT-SP-BACKBONE,geo_or_hybrid_satellite,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
viasat,31515,Inmarsat Global Limited,geo_or_hybrid_satellite,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
viasat,40306,Viasat Inc.,geo_or_hybrid_satellite,verified_constant_plus_discovery_seed,0.997,ASN registry is discovered and expected to grow
